date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,is_weekend
20200101,2020-01-01,2020,1,1,January,1,1,4,false
20200102,2020-01-02,2020,1,1,January,1,2,5,false
20200103,2020-01-03,2020,1,1,January,1,3,6,false
20200104,2020-01-04,2020,1,1,January,1,4,7,true
20200105,2020-01-05,2020,1,1,January,1,5,1,true
20200106,2020-01-06,2020,1,1,January,2,6,2,false
20200107,2020-01-07,2020,1,1,January,2,7,3,false
20200108,2020-01-08,2020,1,1,January,2,8,4,false
20200109,2020-01-09,2020,1,1,January,2,9,5,false
20200110,2020-01-10,2020,1,1,January,2,10,6,false
20200111,2020-01-11,2020,1,1,January,2,11,7,true
20200112,2020-01-12,2020,1,1,January,2,12,1,true
20200113,2020-01-13,2020,1,1,January,3,13,2,false
20200114,2020-01-14,2020,1,1,January,3,14,3,false
20200115,2020-01-15,2020,1,1,January,3,15,4,false
20200116,2020-01-16,2020,1,1,January,3,16,5,false
20200117,2020-01-17,2020,1,1,January,3,17,6,false
20200118,2020-01-18,2020,1,1,January,3,18,7,true
20200119,2020-01-19,2020,1,1,January,3,19,1,true
20200120,2020-01-20,2020,1,1,January,4,20,2,false
20200121,2020-01-21,2020,1,1,January,4,21,3,false
20200122,2020-01-22,2020,1,1,January,4,22,4,false
20200123,2020-01-23,2020,1,1,January,4,23,5,false
20200124,2020-01-24,2020,1,1,January,4,24,6,false
20200125,2020-01-25,2020,1,1,January,4,25,7,true
20200126,2020-01-26,2020,1,1,January,4,26,1,true
20200127,2020-01-27,2020,1,1,January,5,27,2,false
20200128,2020-01-28,2020,1,1,January,5,28,3,false
20200129,2020-01-29,2020,1,1,January,5,29,4,false
20200130,2020-01-30,2020,1,1,January,5,30,5,false
20200131,2020-01-31,2020,1,1,January,5,31,6,false
20200201,2020-02-01,2020,1,2,February,5,1,7,true
20200202,2020-02-02,2020,1,2,February,5,2,1,true
20200203,2020-02-03,2020,1,2,February,6,3,2,false
20200204,2020-02-04,2020,1,2,February,6,4,3,false
20200205,2020-02-05,2020,1,2,February,6,5,4,false
20200206,2020-02-06,2020,1,2,February,6,6,5,false
20200207,2020-02-07,2020,1,2,February,6,7,6,false
20200208,2020-02-08,2020,1,2,February,6,8,7,true
20200209,2020-02-09,2020,1,2,February,6,9,1,true
20200210,2020-02-10,2020,1,2,February,7,10,2,false
20200211,2020-02-11,2020,1,2,February,7,11,3,false
20200212,2020-02-12,2020,1,2,February,7,12,4,false
20200213,2020-02-13,2020,1,2,February,7,13,5,false
20200214,2020-02-14,2020,1,2,February,7,14,6,false
20200215,2020-02-15,2020,1,2,February,7,15,7,true
20200216,2020-02-16,2020,1,2,February,7,16,1,true
20200217,2020-02-17,2020,1,2,February,8,17,2,false
20200218,2020-02-18,2020,1,2,February,8,18,3,false
20200219,2020-02-19,2020,1,2,February,8,19,4,false
20200220,2020-02-20,2020,1,2,February,8,20,5,false
20200221,2020-02-21,2020,1,2,February,8,21,6,false
20200222,2020-02-22,2020,1,2,February,8,22,7,true
20200223,2020-02-23,2020,1,2,February,8,23,1,true
20200224,2020-02-24,2020,1,2,February,9,24,2,false
20200225,2020-02-25,2020,1,2,February,9,25,3,false
20200226,2020-02-26,2020,1,2,February,9,26,4,false
20200227,2020-02-27,2020,1,2,February,9,27,5,false
20200228,2020-02-28,2020,1,2,February,9,28,6,false
20200229,2020-02-29,2020,1,2,February,9,29,7,true
20200301,2020-03-01,2020,1,3,March,9,1,1,true
20200302,2020-03-02,2020,1,3,March,10,2,2,false
20200303,2020-03-03,2020,1,3,March,10,3,3,false
20200304,2020-03-04,2020,1,3,March,10,4,4,false
20200305,2020-03-05,2020,1,3,March,10,5,5,false
20200306,2020-03-06,2020,1,3,March,10,6,6,false
20200307,2020-03-07,2020,1,3,March,10,7,7,true
20200308,2020-03-08,2020,1,3,March,10,8,1,true
20200309,2020-03-09,2020,1,3,March,11,9,2,false
20200310,2020-03-10,2020,1,3,March,11,10,3,false
20200311,2020-03-11,2020,1,3,March,11,11,4,false
20200312,2020-03-12,2020,1,3,March,11,12,5,false
20200313,2020-03-13,2020,1,3,March,11,13,6,false
20200314,2020-03-14,2020,1,3,March,11,14,7,true
20200315,2020-03-15,2020,1,3,March,11,15,1,true
20200316,2020-03-16,2020,1,3,March,12,16,2,false
20200317,2020-03-17,2020,1,3,March,12,17,3,false
20200318,2020-03-18,2020,1,3,March,12,18,4,false
20200319,2020-03-19,2020,1,3,March,12,19,5,false
20200320,2020-03-20,2020,1,3,March,12,20,6,false
20200321,2020-03-21,2020,1,3,March,12,21,7,true
20200322,2020-03-22,2020,1,3,March,12,22,1,true
20200323,2020-03-23,2020,1,3,March,13,23,2,false
20200324,2020-03-24,2020,1,3,March,13,24,3,false
20200325,2020-03-25,2020,1,3,March,13,25,4,false
20200326,2020-03-26,2020,1,3,March,13,26,5,false
20200327,2020-03-27,2020,1,3,March,13,27,6,false
20200328,2020-03-28,2020,1,3,March,13,28,7,true
20200329,2020-03-29,2020,1,3,March,13,29,1,true
20200330,2020-03-30,2020,1,3,March,14,30,2,false
20200331,2020-03-31,2020,1,3,March,14,31,3,false
20200401,2020-04-01,2020,2,4,April,14,1,4,false
20200402,2020-04-02,2020,2,4,April,14,2,5,false
20200403,2020-04-03,2020,2,4,April,14,3,6,false
20200404,2020-04-04,2020,2,4,April,14,4,7,true
20200405,2020-04-05,2020,2,4,April,14,5,1,true
20200406,2020-04-06,2020,2,4,April,15,6,2,false
20200407,2020-04-07,2020,2,4,April,15,7,3,false
20200408,2020-04-08,2020,2,4,April,15,8,4,false
20200409,2020-04-09,2020,2,4,April,15,9,5,false
20200410,2020-04-10,2020,2,4,April,15,10,6,false
20200411,2020-04-11,2020,2,4,April,15,11,7,true
20200412,2020-04-12,2020,2,4,April,15,12,1,true
20200413,2020-04-13,2020,2,4,April,16,13,2,false
20200414,2020-04-14,2020,2,4,April,16,14,3,false
20200415,2020-04-15,2020,2,4,April,16,15,4,false
20200416,2020-04-16,2020,2,4,April,16,16,5,false
20200417,2020-04-17,2020,2,4,April,16,17,6,false
20200418,2020-04-18,2020,2,4,April,16,18,7,true
20200419,2020-04-19,2020,2,4,April,16,19,1,true
20200420,2020-04-20,2020,2,4,April,17,20,2,false
20200421,2020-04-21,2020,2,4,April,17,21,3,false
20200422,2020-04-22,2020,2,4,April,17,22,4,false
20200423,2020-04-23,2020,2,4,April,17,23,5,false
20200424,2020-04-24,2020,2,4,April,17,24,6,false
20200425,2020-04-25,2020,2,4,April,17,25,7,true
