seller_id,seller_name,sell_product_category,reg_date,active_status,city,state,source_file,time_stamp,processed_timestamp
SELL00001,Barad PLC,clothing,2024-03-05,Inactive,Bongaigaon,Jharkhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00002,Mall PLC,"clothing, sports",2022-04-04,Active,Rohtak,West Bengal,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00003,Patel-Chaudry,"beauty, Electronics",2022-01-21,Active,Ramagundam,Gujarat,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00004,Ravi Group,"beauty, Furniture",2024-08-24,Active,Gandhidham,Rajasthan,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00005,Kapoor Ltd,sports,2021-06-02,Inactive,Pimpri-Chinchwad,Mizoram,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00006,Pradhan LLC,Electronics,2024-10-02,Active,Anantapuram,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00007,Yogi LLC,beauty,2022-08-02,Active,Tirunelveli,Madhya Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00008,Krishnamurthy-Sankaran,"sports, Electronics",2024-07-07,Active,Akola,Karnataka,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00009,Bhargava and Sons,"home, sports",2022-02-02,Inactive,Durg,Tripura,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00010,"Sarna, Pal and Sundaram",beauty,2022-09-28,Active,Salem,Bihar,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00011,"Mani, Taneja and Pandit",home,2023-04-20,Inactive,Pune,Haryana,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00012,"Buch, Kannan and Sawhney","sports, home",2021-07-28,Active,Mirzapur,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00013,"Kari, Prasad and Sandal",Electronics,2025-11-06,Active,Ghaziabad,Jharkhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00014,Nagar-Uppal,"clothing, Electronics",2025-07-23,Active,Miryalaguda,Tripura,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00015,Thaman PLC,"beauty, clothing",2021-10-18,Active,Jalgaon,Himachal Pradesh,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
SELL00016,Shanker LLC,"clothing, home",2021-10-08,inactive,Bhilwara,Uttarakhand,sellers.csv,2026-04-27T11:46:51.759+05:30,2026-04-27T11:47:56.160+05:30
